slug,display,tier,bench,task,agent,n,accuracy,ir,sem_ir,sur_ir,delta,para,syn,reord,fmt,dist,in_A,in_B
qwen25_3b,Qwen2.5-3B,mid,math,deep_math,react,20,0.45,0.9,0.5882352941176471,0.7166666666666667,-0.1284313725490196,0.5882352941176471,0.5714285714285714,0.6666666666666666,0.65,0.85,0,1
qwen25_7b,Qwen2.5-7B,strong,gsm8k,shallow_arith,cot,20,0.9,0.7,0.6,0.24999999999999994,0.35000000000000003,0.6,0.8333333333333334,0.25,0.25,0.25,1,0
qwen25_7b,Qwen2.5-7B,strong,gsm8k,shallow_arith,react,20,0.35,0.85,0.725,0.6166666666666667,0.10833333333333328,0.7,1.0,0.7,0.45,0.7,1,0
qwen25_7b,Qwen2.5-7B,strong,math,deep_math,cot,20,0.55,0.65,0.35294117647058826,0.36666666666666664,-0.013725490196078383,0.35294117647058826,0.2857142857142857,0.3888888888888889,0.45,0.25,0,1
qwen25_7b,Qwen2.5-7B,strong,math,deep_math,react,20,0.35,0.75,0.5,0.5166666666666666,-0.016666666666666607,0.5294117647058824,0.2857142857142857,0.4444444444444444,0.55,0.55,0,1
llama31_8b,Llama-3.1-8B,strong,hotpotqa,multi_hop,cot,30,0.7,0.4666666666666667,0.4230769230769231,0.22222222222222224,0.20085470085470084,0.42857142857142855,0.3888888888888889,0.23333333333333334,0.13333333333333333,0.3,1,0
llama31_8b,Llama-3.1-8B,strong,hotpotqa,multi_hop,react,30,0.6333333333333333,0.5333333333333333,0.3269230769230769,0.3444444444444444,-0.01752136752136746,0.38095238095238093,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.36666666666666664,1,0
llama32_1b,Llama-3.2-1B,weak,hotpotqa,multi_hop,cot,30,0.3333333333333333,0.9333333333333333,0.6346153846153846,0.7,-0.06538461538461537,0.6190476190476191,0.7777777777777778,0.7333333333333333,0.6666666666666666,0.7,0,1
llama32_1b,Llama-3.2-1B,weak,hotpotqa,multi_hop,react,30,0.4666666666666667,1.0,0.6153846153846154,0.6333333333333331,-0.017948717948717663,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.6333333333333333,0.6,0,1
llama32_3b,Llama-3.2-3B,mid,hotpotqa,multi_hop,cot,30,0.6666666666666666,0.5666666666666667,0.3269230769230769,0.28888888888888886,0.038034188034188066,0.23809523809523808,0.4444444444444444,0.3333333333333333,0.26666666666666666,0.26666666666666666,0,0
llama32_3b,Llama-3.2-3B,mid,hotpotqa,multi_hop,react,30,0.5,0.6666666666666666,0.4230769230769231,0.36666666666666675,0.05641025641025632,0.5238095238095238,0.4444444444444444,0.26666666666666666,0.43333333333333335,0.4,0,0
mimo_v25_pro,MiMo-v2.5-pro,frontier,hotpotqa,multi_hop,cot,50,0.84,0.38,0.23809523809523808,0.11999999999999998,0.1180952380952381,0.2571428571428571,0.14814814814814814,0.12,0.12,0.12,1,0
mimo_v25_pro,MiMo-v2.5-pro,frontier,hotpotqa,multi_hop,react,50,0.84,0.26,0.19047619047619047,0.08666666666666666,0.10380952380952381,0.14285714285714285,0.2222222222222222,0.1,0.06,0.1,1,0
qwen25_3b,Qwen2.5-3B,mid,hotpotqa,multi_hop,cot,30,0.5666666666666667,0.7333333333333333,0.4423076923076923,0.41111111111111115,0.03119658119658114,0.47619047619047616,0.3888888888888889,0.4,0.43333333333333335,0.4,0,0
qwen25_3b,Qwen2.5-3B,mid,hotpotqa,multi_hop,react,30,0.6,0.5333333333333333,0.3269230769230769,0.26666666666666666,0.060256410256410264,0.3333333333333333,0.2777777777777778,0.36666666666666664,0.23333333333333334,0.2,0,0
qwen25_7b,Qwen2.5-7B,strong,hotpotqa,multi_hop,cot,30,0.7666666666666667,0.8,0.6346153846153846,0.44444444444444453,0.19017094017094005,0.7142857142857143,0.5555555555555556,0.5333333333333333,0.3333333333333333,0.4666666666666667,1,0
qwen25_7b,Qwen2.5-7B,strong,hotpotqa,multi_hop,react,30,0.7,0.6,0.46153846153846156,0.2777777777777778,0.18376068376068377,0.3333333333333333,0.6111111111111112,0.3,0.23333333333333334,0.3,1,0
mimo_v25_pro,MiMo-v2.5-pro,frontier,gsm8k,shallow_arith,cot,50,0.96,0.36,0.23,0.08666666666666668,0.1433333333333333,0.25,0.0625,0.06,0.08,0.12,1,0
mimo_v25_pro,MiMo-v2.5-pro,frontier,gsm8k,shallow_arith,react,50,1.0,0.24,0.21,0.013333333333333332,0.19666666666666666,0.25,0.0,0.04,0.0,0.0,1,0
mimo_v25_pro,MiMo-v2.5-pro,frontier,math,deep_math,cot,50,0.68,0.52,0.2391304347826087,0.2800000000000001,-0.04086956521739138,0.24444444444444444,0.29411764705882354,0.3541666666666667,0.28,0.22,0,1
mimo_v25_pro,MiMo-v2.5-pro,frontier,math,deep_math,react,20,0.6,0.3,0.23529411764705882,0.19166666666666665,0.04362745098039217,0.23529411764705882,0.2857142857142857,0.16666666666666666,0.2,0.2,0,1
